50 4	128 40
5 34 556 4	5 32 1 40
5 34 556 4	5 32 5938 40
5 34 515 4	19 28 32 4
5 34 298 4	5 32 592 4
5 34 217 4	5 32 28 292 4
5 34 1173 4	5 32 2138 4
5 34 1173 4	5 32 4139 4
5 34 1173 4	5 32 4685 4
5 34 1173 4	5 32 5939 4
5 34 2009 4	5 142 91 4
5 34 2009 4	5 33 182 91 4
5 34 588 4	5 32 608 4
5 34 479 4	5 32 28 561 4
5 34 401 4	5 32 423 4
5 34 122 4	19 28 32 749 4
5 34 122 4	19 28 32 243 4
5 34 122 4	19 28 32 455 4
5 34 3386 4	5 32 3909 4
5 34 3386 4	5 32 6581 4
5 34 1693 4	5 32 3511 4
5 34 1693 4	5 32 5462 4
5 34 170 4	5 142 91 4
5 34 170 4	5 33 182 91 4
5 55 149 4	5 24 25 2859 4
15 1917 4	39 215 4
15 1583 4	39 57 199 4
15 557 4	39 827 4
15 17 14 4	35 9 22 4
15 17 341 4	35 9 1628 4
15 17 341 4	35 9 6582 4
15 17 46 4	35 9 15 3356 4
15 17 159 4	35 9 236 4
15 17 159 4	35 9 868 4
15 17 1963 4	35 9 887 4
15 17 581 4	12 9 695 4
15 17 811 4	35 170 9 888 4
212 74 126	4400 29 603 4
790 14 4	3090 22 4
163 15 4	284 591 40
163 15 4	364 591 40
163 22 4	364 47 40
163 96 4	284 27 40
163 96 4	364 27 40
84 17 50 126	348 43 40
84 17 50 4	348 43 40
123 74 126	441 40
123 74 126	479 733 40
997 22 4	1604 47 40
172 5 50 9	181 5 220 7
172 5 50 9	181 5 43 102 7
172 5 50 9	181 5 44 43 248 7
791 14 4	5040 22 4
791 14 4	1 22 4
37 256 4	36 9 898 4
37 371 4	36 9 1227 4
37 1550 4	36 867 4
477 178 126	2307 86 40
477 178 126	2363 10 40
477 178 4	2307 86 4
477 59 4	2307 86 81 4
192 73 126	238 42 291 40
192 73 126	726 42 291 40
500 73 4	1129 86 4
190 14 4	552 22 4
190 14 4	1 22 4
1359 15 4	4140 15 4
1359 15 4	4140 16 4
1359 15 4	1 16 4
85 14 4	217 15 13 22 4
85 14 4	1 28 22 4
3567 126	1655 40
3567 126	1878 40
3567 126	3701 40
44 149 4	67 1 4
44 149 4	101 1 4
44 149 4	67 95 876 4
44 149 4	101 95 876 4
14 371 4	22 9 328 4
14 236 4	22 576 4
14 179 4	22 9 497 4
14 1045 4	22 18 1041 4
14 263 4	22 18 304 4
106 217 4	118 288 4
449 22 4	157 47 461 4
193 209 4	157 23 2770 4
193 111 4	2648 28 40
193 111 4	858 28 40
193 20 4	623 150 40
193 20 4	858 150 40
281 20 4	1777 150 4
281 20 4	3357 150 40
281 20 4	5041 150 40
1694 14 4	1 22 4
306 96 4	834 27 40
306 96 4	479 27 40
25 495 4	27 110 29 326 4
25 54 50 4	27 2973 4
28 32 9	34 120 38 7
28 32 9	13 120 134 7
28 341 126	37 9 20 37 89 45 9 1 40
28 341 126	37 9 20 37 89 45 9 1 40
82 256 9	48 9 372 7
82 371 9	48 9 328 7
82 514 9	48 6583 7
317 22 4	1242 47 40
317 22 4	1929 47 40
6 263 4	17 63 304 4
6 263 4	10 66 304 4
208 6 4	163 10 4
2896 4 435 126	28 514 40 428 40
35 2069 4	2307 86 40
35 2069 4	2363 10 40
3568 6 4	13 205 5940 40
1106 178 126	1 10 40
1106 178 4	1130 86 4
30 25 50 9	267 27 220 7
30 25 50 9	267 27 27 28 102 7
30 25 50 9	267 27 43 102 7
521 14 4	2137 22 4
521 52 4	1 15 4
89 124 4	4141 40
89 59 4	315 81 4
89 59 4	732 108 4
89 180 126	315 40
89 180 126	732 40
89 180 4	315 166 47 40
89 180 4	732 166 47 40
89 280 4	315 459 40
89 280 4	732 459 40
1127 178 4	1 10 40
48 5 558 9	25 5 876 7
48 5 558 9	24 25 5 2859 7
720 4392 4	46 802 5941 4
720 4392 4	31 802 5941 4
23 11 200 4	14 293 8 40
23 11 888 4	14 2189 8 40
23 11 551 4	14 3910 8 40
23 11 551 4	14 1 8 40
23 11 509 4	14 3210 8 4
23 11 421 4	14 4686 8 4
23 11 421 4	14 556 8 4
844 22 4	1481 47 4
844 22 4	1464 47 4
2256 126	2862 40
145 20 4	226 39 40
145 20 4	1879 39 40
145 20 4	2649 39 40
700 22 4	32 47 4
700 96 4	32 27 40
700 96 4	2974 27 40
382 15 126	756 40
382 15 126	756 15 40
382 15 126	1107 40
382 15 4	284 591 4
382 15 4	756 4
61 10 164 4	324 23 541 40
61 10 164 4	324 23 492 40
61 10 164 4	2238 23 541 40
61 10 164 4	2238 23 492 40
61 274 4	2574 86 4
61 274 4	5463 10 4
50 61 15 4	128 15 583 40
50 61 15 4	342 15 583 40
50 901 4	2572 40
50 7 279 4	128 60 311 40
50 7 279 4	342 60 311 40
81 742 4	180 375 40
81 742 4	180 375 4
1582 13 4	2137 39 40
1582 13 4	5464 39 40
1582 13 4	4401 86 6 39 40
1582 13 4	5465 10 6 39 40
1582 20 4	2137 39 40
1582 20 4	5464 39 40
531 168 4	8 1879 40
16 12 1044 4	12 9 423 4
16 17 10 1 4	12 9 1 4
16 17 81 4	12 9 134 4
16 17 1173 4	12 9 2138 4
16 17 588 4	12 9 608 4
16 17 1 4	12 9 1 4
59 5 115 4	33 775 4
59 17 1667 1843 4	1172 550 665 4
663 435 4	1 60 428 40
663 435 4	1962 15 428 40
663 20 4	1033 39 40
49 1879 126	35 9 4687 40
49 990 126	123 35 9 887 40
49 17 14 9	90 128 22 7
5 115 215 4	5 32 373 4
5 115 296 4	19 25 445 4
5 115 692 4	5 142 91 4
5 115 81 4	5 32 134 4
5 115 59 4	5 32 81 4
5 115 1173 4	5 32 2138 4
5 115 1173 4	5 32 4139 4
5 115 1173 4	5 32 5939 4
5 115 2009 4	5 142 91 4
5 115 401 4	5 32 423 4
5 115 122 4	5 32 243 4
5 115 122 4	5 32 749 4
5 115 1728 4	5 32 1605 4
5 1798 6 4	5 10 28 272 4
5 1798 6 4	5 10 28 1 4
5 1798 6 4	5 10 28 3702 4
5 1798 6 4	5 51 272 4
5 30 421 4	5 84 899 4
5 30 2197 4	5 84 1778 4
5 1 4	19 1680 23 3512 6 1 4
5 1 4	19 25 162 23 3512 6 1 4
5 1 4	5 32 1189 28 47 119 4
5 1 4	19 170 25 6584 4
5 128 21 4	5 446 82 612 60 469 4
5 128 73 4	19 4142 4
5 105 501 4	5 33 32 382 13 104 557 4
5 105 501 4	5 33 32 1449 13 104 557 4
5 69 341 4	5 33 32 2239 4
5 69 341 4	5 33 32 1 4
5 69 341 4	5 33 32 1 4
5 367 15 4	5 435 39 4
5 24 15 4	5 24 25 4
5 213 80 4	19 240 91 4
5 1668 4	5 33 32 5942 4
5 1668 4	5 33 32 1 4
5 1 4	19 170 25 1 4
5 236 15 4	5 15 266 4
5 41 15 4	19 106 39 4
5 139 15 126	19 362 39 40
5 139 15 4	19 362 39 40
5 395 15 126	5 32 900 40
5 395 15 4	5 32 900 4
5 135 50 4	5 136 43 102 4
5 135 50 4	12 139 11 19 43 955 4
5 135 50 4	12 33 139 43 102 4
5 135 50 4	12 33 139 220 4
5 135 50 4	12 33 139 44 28 102 4
5 135 50 4	5 136 220 4
5 135 50 4	5 136 44 28 102 4
5 135 50 4	12 139 11 5 44 28 955 4
5 79 15 4	19 28 25 103 4
5 79 15 4	12 33 15 139 4
5 1277 4	19 25 1432 4
5 1 4	19 25 808 29 1016 4
5 532 4	5 15 1057 4
5 1669 4	5 33 32 3907 4
5 1669 4	5 33 32 5461 4
5 1472 4	19 25 225 82 1341 4
5 138 80 4	5 24 25 79 4
5 201 52 4	5 24 170 25 152 4
5 201 52 4	5 15 677 4
5 201 68 4	19 28 25 152 30 4
5 201 6 4	5 10 677 4
5 201 6 4	5 51 677 4
5 201 6 4	5 52 25 152 4
5 201 6 4	5 10 25 1606 4
5 201 6 4	5 10 25 1342 4
5 201 6 4	5 10 25 433 4
5 201 6 4	5 10 25 152 4
5 88 14 4	5 425 22 4
5 3792 4	19 25 2771 4
5 4393 4	19 25 1 4
5 39 15 4	5 15 50 4
5 27 159 4	19 111 236 4
5 66 50 4	19 1015 4
5 1211 73 4	5 33 32 2240 4
5 77 495 4	5 401 29 326 4
5 77 163 4	5 1 4
5 54 713 4	5 1 4
5 54 92 4	19 1629 4
5 54 223 4	5 5042 4
5 54 1390 4	19 1 4
5 54 2137 4	5 645 59 659 4
5 54 2137 4	5 645 82 1343 4
5 54 2137 4	5 1 122 1 4
5 54 829 4	5 3911 4
5 54 514 4	19 6585 4
5 54 516 4	5 1 4
5 54 190 4	19 1 4
5 54 423 4	5 1 4
5 54 132 4	5 142 114 4
5 54 321 4	5 1 4
5 54 112 4	5 142 325 4
5 54 112 4	5 5043 4
5 34 10 194 4	5 32 23 202 4
5 34 762 4	5 32 1559 4
5 34 762 4	5 32 4402 4
5 34 183 4	5 32 258 4
5 34 444 4	5 32 28 418 4
5 34 2138 4	5 32 5466 4
5 34 2138 4	5 32 1779 4
5 34 1245 4	5 32 1842 4
5 34 597 4	19 25 5044 4
5 34 597 4	5 32 634 4
5 34 582 4	5 32 788 4
5 34 3569 4	5 32 1 4
5 34 668 4	5 32 2139 4
5 34 668 4	5 32 5045 4
5 34 668 4	5 32 1806 4
5 34 1551 4	5 33 3910 4
5 34 224 4	5 32 28 439 4
5 34 3793 4	5 32 246 4
5 34 3793 4	5 32 1 4
5 34 3793 4	5 32 1 4
5 34 76 4	5 1255 143 4
5 34 76 4	5 33 1963 4
5 34 76 4	5 1255 4
5 34 4394 4	5 32 1 4
5 34 4394 4	5 32 1 4
5 34 598 4	5 32 1 4
5 34 598 4	19 25 56 2502 4
5 34 598 4	5 32 1290 4
5 34 598 4	5 32 2140 4
5 34 821 4	5 32 28 117 6 1210 4
5 34 1584 4	5 32 2364 4
5 34 1584 4	5 32 3513 4
5 34 1584 4	5 33 324 2364 4
5 34 1584 4	5 32 13 2975 4
5 34 649 4	5 32 1132 4
5 34 274 126	5 32 419 40
5 34 205 4	306 4
5 34 205 4	1464 47 4
5 34 205 4	5 32 306 4
5 34 205 4	5 32 503 4
5 34 1295 4	5 32 4143 4
5 34 2070 4	5 32 1718 4
5 34 246 4	5 32 413 40
5 34 1452 4	5 32 1525 4
5 34 1452 4	5 32 436 13 2976 4
5 34 412 4	5 32 13 86 4
5 34 412 4	5 32 13 10 4
12 14 528 9	9 20 11 22 128 91 7
12 14 528 9	22 128 52 12 91 7
12 15 260 9	35 9 1630 7
12 15 375 9	9 20 480 7
12 15 6 9	9 20 10 7
12 15 6 9	9 20 11 35 9 10 7
15 984 4	39 18 1420 4
15 12 159 4	35 9 236 4
15 12 159 4	35 9 868 4
15 3794 4	12 18 4144 4
15 27 528 4	35 54 134 4
15 27 528 4	35 54 2650 4
15 688 4	39 18 2430 4
15 17 1 4	12 9 183 201 64 2365 4
15 17 3795 4	12 9 1058 201 627 4
15 17 3795 4	12 9 3211 1291 1059 4
15 17 10 428 4	35 9 30 727 4
15 17 296 4	12 57 445 4
15 17 296 4	35 9 445 4
15 17 676 4	35 9 1482 4
15 17 536 4	35 9 328 4
15 17 196 4	35 9 57 4
15 17 372 4	35 9 851 4
15 17 336 4	35 9 6 16 429 4
15 17 454 4	35 9 2863 4
15 17 59 4	36 9 81 4
15 17 2664 4	35 9 16 2977 4
15 17 217 4	12 9 288 4
15 17 351 4	35 9 15 1042 4
15 17 351 4	35 9 16 1180 4
15 17 351 4	35 9 13 47 4
15 17 351 4	12 45 571 56 1042 4
15 17 292 4	35 9 869 4
15 17 1695 4	35 9 15 3094 4
15 17 1695 4	35 9 16 3094 4
15 17 1695 4	35 9 13 27 4
15 17 57 4	12 9 74 40
15 17 57 4	35 9 24 190 4
15 17 311 126	35 9 332 40
15 17 112 4	35 9 56 492 4
212 1106 4	818 1130 4
212 13 4	1719 75 4
84 15 35 4	481 132 12 4
84 15 35 4	284 38 4
84 22 50 126	284 47 220 40
84 22 50 126	364 47 220 40
84 22 50 126	1841 47 40
84 22 50 126	3207 47 40
84 22 50 126	284 47 44 28 102 40
84 22 50 126	364 47 44 28 102 40
84 22 50 126	364 47 43 102 40
84 22 50 126	284 47 43 102 40
84 22 50 4	284 47 220 40
84 22 50 4	364 47 220 40
84 22 50 4	364 47 44 28 102 40
84 22 21 4	364 47 609 4
84 22 21 4	364 47 603 4
84 17 200 4	4403 4
84 17 88 4	1483 124 40
509 144 4	357 2772 26 5046 40
509 144 4	357 6586 26 5046 40
509 144 4	818 2772 26 5046 40
509 144 4	818 6586 26 5046 40
509 144 4	818 1 26 1 40
509 144 4	818 1 26 1 40
123 124 126	479 651 40
123 59 4	479 81 4
123 59 4	834 81 4
3027 73 4	1 86 40
3027 73 4	1 10 40
3027 73 4	5943 86 40
3027 73 4	284 86 102 40
3027 73 4	364 10 102 40
677 180 4	5467 10 4
677 180 4	3358 86 4
302 857 126	2431 404 40
19 1187 126	133 1 40
19 1187 126	1 40
19 1187 4	91 243 4
2772 22 9	5 10 293 3703 7
220 20 4	1118 150 4
125 1692 4	217 2237 4
88 1496 4	1017 377 509 4
88 2320 4	1017 377 2040 4
88 2320 4	124 377 2040 4
1 52 126	1 15 40
1 52 126	5464 15 40
991 9	92 7
991 9	1119 7
37 1157 4	36 2651 4
37 1157 4	36 3359 4
37 323 4	36 18 470 4
37 2139 4	36 828 4
37 17 501 4	36 9 1526 4
37 17 501 4	36 9 72 2978 4
851 59 4	1431 81 4
851 59 4	5047 81 4
851 20 4	5047 150 4
1276 178 4	1 40
1276 178 4	1 40
184 124 4	357 28 1656 40
184 124 4	818 28 1656 40
184 1106 4	818 1130 4
184 1106 4	357 1130 4
184 1106 4	714 94 1130 4
184 1106 4	714 94 1403 445 4
184 178 126	818 2864 4
184 178 4	357 2864 4
184 178 4	818 2864 4
184 59 4	818 108 40
184 59 4	818 81 4
184 1767 4	357 2865 40
1265 124 4	5459 40
1265 124 4	5460 40
190 13 4	552 39 40
190 167 4	819 31 4
101 275 126	376 666 6 86 40
101 275 4	376 666 6 86 4
101 275 4	549 666 6 10 4
101 351 4	376 15 1042 4
101 351 4	376 16 1180 4
101 351 4	549 15 1042 4
101 351 4	549 16 1180 4
101 351 4	376 31 2652 4
101 351 4	376 31 2979 4
101 351 4	549 31 2979 4
101 20 4	376 39 4
101 20 4	549 39 4
414 6 4	365 40
414 6 4	365 4
13 17 528 4	12 21 43 18 8 6 189 4
13 17 528 4	8 6 189 4
13 17 528 4	20 21 9 8 1630 4
13 17 528 4	39 128 4
13 17 15 4	35 9 39 4
504 28 9	64 390 7
44 450 4	67 65 4145 4
44 450 4	101 65 4404 4
44 179 4	67 65 1681 4
44 179 4	101 65 2653 4
44 1045 4	67 95 1041 4
44 1045 4	101 95 1041 4
44 263 4	67 95 304 4
44 263 4	101 95 304 4
44 2897 4	67 5944 4
44 2897 4	101 5944 4
44 2897 4	67 1 4
57 17 73 4	15 74 9 3514 4
14 3205 4	22 704 4
14 1157 4	22 3359 4
14 1 4	22 5945 4
14 322 4	22 244 4
14 3796 4	22 2366 4
14 902 4	22 18 475 4
14 2771 4	22 18 57 1431 6 16 336 4
14 17 842 4	22 9 518 4
14 17 774 4	22 9 28 418 4
14 17 774 4	22 9 788 4
14 17 811 4	22 9 888 4
449 14 4	157 461 13 22 4
449 14 4	237 461 13 22 4
193 155 4	623 129 4
193 155 4	858 6 236 4
193 155 4	623 6 236 4
193 15 42 4	623 15 40
269 59 4	570 81 4
269 59 4	570 108 4
269 59 4	1117 81 4
269 59 4	1117 108 4
306 74 126	441 40
306 74 126	237 441 40
25 861 4	27 110 4145 29 326 4
25 48 15 126	27 93 840 40
25 48 15 4	27 93 840 40
25 48 15 4	27 24 93 57 4
25 490 4	27 93 457 4
25 201 15 4	27 24 93 152 4
25 201 15 4	27 24 93 433 4
25 1552 4	27 93 3360 4
25 685 4	27 6587 4
25 685 4	27 93 2089 4
25 685 4	27 27 110 1 4
25 685 4	27 27 110 1 4
25 685 4	27 27 1 4
25 880 4	27 1 4
25 763 4	27 110 877 13 712 4
25 763 4	27 110 1484 13 712 4
25 54 193 4	27 6588 4
25 54 558 4	27 24 1 4
25 54 558 4	27 1 4
25 36 501 4	27 93 557 4
25 36 811 4	27 110 4688 4
25 36 1415 4	27 110 5468 4
170 196 126	91 3515 40
170 196 126	91 1289 40
170 196 126	8 199 40
28 17 73 9	39 128 7
82 2010 9	48 45 28 3095 7
82 2010 9	48 45 28 1369 7
82 2010 9	13 48 150 442 52 12 7
82 12 16 9	48 9 20 7
82 12 16 9	48 9 12 7
82 12 15 9	48 9 20 7
82 12 15 9	48 9 12 7
82 322 9	48 244 7
82 902 9	48 18 475 7
82 17 1044 9	48 9 423 7
962 126	1780 40
962 126	13 16 180 190 40
317 14 4	1929 13 22 4
6 399 4	17 2000 4
6 399 4	86 26 2000 40
6 1330 126	4405 29 4146 40
6 404 4	17 3704 4
6 404 4	10 2654 4
6 323 4	17 63 470 4
6 323 4	10 66 470 4
45 2773 126	49 15 131 13 1133 40
115 5 1551 9	32 5 28 117 6 728 7
115 5 1551 9	32 5 28 117 6 1 7
115 5 324 9	32 5 28 1016 7
115 5 977 9	10 33 1097 13 16 182 7
115 5 224 9	32 5 15 439 7
115 5 224 9	32 5 16 520 7
115 5 1528 9	32 5 2773 7
115 5 1528 9	32 5 5946 7
115 5 110 9	25 5 256 7
115 5 221 9	33 1930 5 7
115 5 221 9	25 5 652 7
115 5 221 9	9 20 11 5 33 2774 7
270 14 4	3212 13 22 4
31 6 528 9	9 20 11 17 351 91 7
31 6 73 9	69 17 3213 7
31 6 73 9	58 10 1450 7
31 6 73 9	58 10 5469 7
31 6 73 9	69 17 1199 7
31 6 73 9	58 10 1199 7
200 237 4	293 13 487 40
200 297 4	293 5470 40
35 368 126	237 441 40
35 368 126	157 441 40
35 368 126	261 956 40
35 368 126	261 1292 40
35 368 126	247 1292 40
35 368 126	247 2090 40
35 368 126	247 2308 40
35 368 126	157 6589 40
35 368 4	261 1292 40
35 368 4	247 956 40
35 368 4	247 1292 40
35 368 4	247 2308 40
35 2573 4	261 1018 40
35 2573 4	261 2041 40
35 2573 4	247 1018 40
35 2573 4	247 2041 40
35 2573 4	247 2980 40
35 2573 4	247 3912 40
35 42 57 4	247 13 24 190 4
35 42 57 4	261 13 24 190 4
35 881 4	261 1266 4
35 606 4	247 900 40
35 606 4	247 1807 40
35 606 4	247 3913 40
35 606 4	261 900 40
35 606 4	261 1807 40
1 73 126	573 40
485 336 4	1808 13 193 4
485 543 4	2141 56 542 4
30 5 92 9	181 5 160 7
30 5 184 9	181 5 252 7
957 20 4	182 15 4
657 13 4	3361 39 4
657 13 4	479 39 4
657 20 4	3361 39 4
657 20 4	479 39 4
792 68 4	2432 28 23 4
792 68 4	2432 28 30 4
89 183 4	315 188 40
89 183 4	315 258 40
89 183 4	732 188 40
89 183 4	732 258 40
89 183 4	732 1303 40
89 693 4	4397 10 13 27 4
89 42 21 126	307 733 40
89 42 21 4	307 4
89 1768 126	315 410 40
89 1768 126	1 410 40
89 7 22 4	732 13 47 4
89 7 96 4	732 13 27 4
522 15 74 126	552 40
522 15 74 126	819 40
522 15 74 4	177 40
48 25 558 9	93 27 876 7
4078 1142 4	1 42 410 4
18 5 1 9	9 20 11 5 4689 7
18 721 888 9	31 769 5471 67 7
23 11 1 4	51 3914 8 4
23 11 1 4	10 1 8 4
23 11 1 4	14 51 3914 8 4
23 11 1 4	14 10 1 8 4
23 11 1414 126	14 3906 8 40
23 11 677 126	14 2768 8 40
23 11 677 126	14 5048 8 40
23 11 677 4	14 2768 8 4
23 11 2665 4	14 51 1 8 4
23 11 2665 4	14 10 1 8 4
23 11 132 126	14 726 8 40
23 11 132 4	14 726 8 40
23 11 269 4	21 570 8 40
23 11 269 4	21 1117 8 40
562 1497 126	914 86 13 24 2655 4
562 1497 126	763 10 13 24 2655 4
1498 15 73 4	15 637 4
191 10 164 4	324 23 541 40
191 10 164 4	324 23 492 40
700 14 4	2974 22 4
700 14 4	32 22 4
700 52 4	32 15 40
700 52 4	2974 15 40
382 14 4	756 22 4
382 14 4	1107 22 4
382 52 4	756 15 4
382 52 4	1107 15 4
1158 22 4	5049 47 4
1158 96 4	4690 27 40
61 10 226 126	1404 86 30 194 40
61 7 279 4	342 60 311 40
